,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,AVERAGE ALLOWED CHARGES,AVERAGE PAYMENT,CARDIOVASCULAR,DIGESTIVE SYSTEM,EAR,ENDOCRINE SYSTEM,EYE,FEMALE GENITALIA,INTEGUMENTARY,LYMPHATIC,MALE GENITALIA,MATERNITY,MEDIASTINUM,MUSCULOSKELETAL,RESPIRATORY,URINARY,y
159,33244.0,TOTAL,4721.0,3483984.15,2705939.36,737.9758843465368,573.1708027960177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
163,33249.0,TOTAL,50111.0,52135807.07,40567145.55999999,1040.4064391051866,809.5457197022607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
166,33250.0,TOTAL,13.0,11689.69,9164.71,899.2069230769231,704.9776923076922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
169,33251.0,TOTAL,67.0,38752.77,29708.1,578.3995522388059,443.40447761194025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
172,33254.0,TOTAL,89.0,83098.88,65023.57000000001,933.6952808988765,730.6019101123596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
175,33255.0,TOTAL,65.0,88659.29,68057.09,1363.989076923077,1047.0321538461537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
178,33256.0,TOTAL,108.0,152526.57,116887.4,1412.2830555555556,1082.2907407407406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
181,33257.0,TOTAL,5779.0,2339128.76,1821690.86,404.7635853953971,315.22596643017823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
184,33258.0,TOTAL,83.0,36753.37,28806.99,442.81168674698796,347.0721686746988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
187,33259.0,TOTAL,7252.0,4344329.22,3388198.59,599.0525675675675,467.2088513513513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
190,33261.0,TOTAL,33.0,29404.58,22365.48,891.0478787878789,677.7418181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
193,33262.0,TOTAL,5083.0,2636303.37,2038188.94,518.6510662994295,400.9814951800118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
197,33263.0,TOTAL,10824.0,7234287.88,5589007.15,668.3562342941611,516.3532104582409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
201,33264.0,TOTAL,17680.0,12326439.53,9577848.29,697.1968059954751,541.7335005656108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
204,33265.0,TOTAL,236.0,220482.57,170836.49,934.2481779661017,723.8834322033898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
207,33266.0,TOTAL,684.0,940603.22,729293.3500000001,1375.1509064327486,1066.2183479532166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
210,33270.0,TOTAL,1458.0,919547.04,714345.05,630.6906995884774,489.94859396433475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
212,33271.0,TOTAL,44.0,19465.89,15257.63,442.4065909090909,346.76431818181817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
215,33272.0,TOTAL,89.0,25226.82,19681.67,283.44741573033707,221.14235955056176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
217,33273.0,TOTAL,28.0,10960.4,8589.87,391.4428571428571,306.78107142857147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
221,33282.0,TOTAL,30957.0,9328371.21,7222598.779999999,301.3331786025778,233.3106819136221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
225,33284.0,TOTAL,7274.0,1245105.06,956825.72,171.17199065163598,131.54051690954083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
228,33300.0,TOTAL,294.0,522535.28,407659.85,1777.3308843537416,1386.5981292517006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
231,33305.0,TOTAL,324.0,962196.51,745807.1,2969.742314814815,2301.8737654320985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
234,33310.0,TOTAL,74.0,53623.64,41973.66,724.6437837837838,567.2116216216217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
237,33315.0,TOTAL,551.0,552896.28,434018.12,1003.4415245009075,787.6916878402903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
240,33320.0,TOTAL,107.0,74626.91,58502.03,697.4477570093459,546.7479439252336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
246,33322.0,TOTAL,224.0,144212.5,112453.46,643.8058035714286,502.024375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
249,33330.0,TOTAL,29.0,25852.85,20253.96,891.4775862068965,698.4124137931034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
252,33335.0,TOTAL,144.0,112752.87,87658.17,783.0060416666666,608.7372916666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
255,33361.0,TOTAL,25807.0,23126270.43,18102035.58,896.1239365288487,701.4389731468206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
258,33362.0,TOTAL,7503.0,7122575.739999999,5586677.720000001,949.2970465147273,744.5925256564042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
261,33363.0,TOTAL,735.0,745098.66,584050.23,1013.7396734693878,794.6261632653061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
264,33364.0,TOTAL,127.0,123735.18,98212.25,974.2927559055117,773.3248031496063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
267,33365.0,TOTAL,1298.0,1507748.66,1181515.25,1161.5937288135592,910.258281972265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
270,33366.0,TOTAL,2255.0,2790186.72,2201117.86,1237.333356984479,976.1054811529933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
273,33367.0,TOTAL,99.0,63141.41,49441.78,637.7920202020202,499.4119191919192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
276,33368.0,TOTAL,48.0,36295.01,27786.83,756.1460416666667,578.8922916666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
279,33369.0,TOTAL,11.0,11446.23,9013.92,1040.5663636363636,819.4472727272728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
282,33400.0,TOTAL,380.0,437293.87,341943.39,1150.773342105263,899.8510263157895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
288,33403.0,TOTAL,16.0,10796.66,8452.76,674.79125,528.2975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
294,33405.0,TOTAL,45879.0,66083172.07000001,51483276.14,1440.3795215676018,1122.1534065694545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
297,33406.0,TOTAL,385.0,707321.58,551923.7,1837.198909090909,1433.5680519480518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
300,33410.0,TOTAL,1452.0,2393110.5,1854374.85,1648.1477272727273,1277.1176652892564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
303,33411.0,TOTAL,1439.0,3386603.89,2674112.89,2353.4425920778317,1858.313335649757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
306,33412.0,TOTAL,68.0,132399.53,103680.58,1947.051911764706,1524.7144117647058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
309,33414.0,TOTAL,97.0,86176.14,67950.03,888.4138144329897,700.5157731958762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
312,33415.0,TOTAL,231.0,224636.97,174470.81,972.4544155844156,755.2848917748918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
315,33416.0,TOTAL,1227.0,1148480.37,894445.6499999999,936.0068215158925,728.9695599022004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
318,33417.0,TOTAL,222.0,164977.48,127333.05,743.1418018018019,573.5722972972973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
321,33418.0,TOTAL,2318.0,3468225.07,2721331.19,1496.2144391716997,1173.9996505608283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
324,33419.0,TOTAL,875.0,325410.83,255653.59,371.89809142857143,292.17553142857145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
327,33420.0,TOTAL,53.0,28707.41,22545.62,541.6492452830189,425.38905660377355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
330,33422.0,TOTAL,41.0,31549.63,24931.87,769.5031707317073,608.0943902439025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
333,33425.0,TOTAL,928.0,1620405.69,1267738.27,1746.1268211206896,1366.0972737068967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
336,33426.0,TOTAL,7348.0,10483874.68,8175907.8,1426.7657430593358,1112.6711758301578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
339,33427.0,TOTAL,5154.0,8769846.02,6836235.73,1701.5611214590608,1326.3942045013582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
342,33430.0,TOTAL,13397.0,25724599.8,20072398.88,1920.1761439128163,1498.275649772337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
